ID,life_expectancy,bmi,hiv,gdp,thinness_till19,inf_death,school,lifestyle,pop_size
33,75.4,58.4,0.1,547.8517,6,21,14.4,0.584,3
34,75.3,57.2,0.1,5471.866766,5.9,21,14.4,30.316,3
35,75.1,56.1,0.1,5564.82566,5.9,21,14.4,37.026,3
36,74.9,55,0.1,5432.2523,5.9,21,14,30.8,3
37,74.7,53.9,0.1,4463.394675,5.9,21,13.6,24.255,3
38,74.4,52.8,0.1,3868.83123,6,20,13.1,26.4,2
39,74.1,51.8,0.1,495.254866,6,20,12.6,23.828,2
40,73.8,5.8,0.1,3935.183343,6,20,12.3,2.552,1
41,73.4,49.8,0.1,3464.6179,6.1,20,12.3,17.928,3
42,72.9,48.9,0.1,31.122378,6.1,19,12,24.45,3
43,72.3,47.9,0.1,2598.9823,6.2,19,11.7,21.555,2
44,71.7,47,0.1,294.33556,6.3,20,11.5,15.98,2
45,71.6,46.1,0.1,1774.33673,6.3,20,11.1,16.596,2
46,71.4,45.3,0.1,1732.857979,6.4,20,10.9,10.419,3
47,71.3,44.4,0.1,1757.17797,6.5,21,10.7,11.1,2
48,52.4,23.3,1.9,3695.793748,8.3,66,11.4,95.064,2
49,51.7,22.7,2,479.31224,8.5,67,11.4,189.091,2
50,51.1,22.1,2.3,484.616884,8.6,69,11.4,179.01,2
51,56,21.5,2.6,4598.249988,8.8,72,10.3,177.16,1
52,51,21,2.5,4299.12889,8.9,75,9.4,169.26,3
53,49.6,2.4,2.5,3529.53482,9.1,78,9,18.72,3
54,49.1,19.8,2.5,3347.84485,9.3,81,8.5,138.798,3
55,48.7,19.3,2.6,3868.578883,9.5,84,8.1,136.451,2
56,48.2,18.8,2.6,2878.837144,9.6,87,7.7,119.38,2
57,47.7,18.2,2.5,262.415149,9.8,90,7.2,106.288,2
58,47.4,17.7,2.6,1443.991929,1,92,6.8,89.208,3
59,47.1,17.2,2.5,141.86844,1.2,94,6.4,60.716,3
60,46.8,16.8,2.4,779.468356,1.4,95,5.9,58.632,2
61,46.5,16.3,2.3,711.181716,1.5,96,5.5,45.966,3
62,45.7,15.8,2.1,526.168743,1.7,97,5.1,40.764,3
63,45.3,15.4,2,555.2969419,1.9,97,4.6,28.49,2
80,76.3,62.8,0.1,13467.1236,1,8,17.3,256.224,3
81,76.2,62.2,0.1,12245.25645,1,8,17.3,493.246,3
82,76,61.6,0.1,12976.63642,1,8,17.3,510.048,3
83,75.9,61,0.1,12969.7712,1,9,17.2,509.35,2
84,75.7,6.4,0.1,12726.9836,1,9,17.1,51.904,3
85,75.5,59.8,0.1,1276.265,1,10,16.8,487.37,3
86,75.6,59.2,0.1,8161.36966,1,10,16.5,493.136,2
87,75.4,58.6,0.1,8953.359275,1,10,16.3,492.826,3
88,74.8,58,0.1,7193.61764,1.1,10,16.3,473.28,2
89,75.2,57.5,0.1,5878.76127,1.1,11,16.1,445.625,2
90,74.9,56.9,0.1,576.883829,1.1,11,16.3,428.457,3
91,74.7,56.3,0.1,4251.574348,1.1,11,16.3,429.569,3
92,74.1,55.7,0.1,333.4376,1.2,11,16.4,424.434,2
93,74.1,55.1,0.1,2579.193168,1.2,12,16.3,430.331,2
94,74,54.6,0.1,717.694674,1.2,12,15.6,423.696,2
95,74.1,54,0.1,7669.273916,1.2,12,15,414.72,2
96,74.8,54.9,0.1,369.654776,2.1,1,12.7,223.992,1
97,74.6,54.1,0.1,3994.712355,2.1,1,12.7,211.531,1
98,74.4,53.3,0.1,3843.591213,2.1,1,12.7,202.007,1
99,74.4,52.6,0.1,3684.8481,2,1,12.7,204.614,2
100,73.9,51.9,0.1,3526.978143,2,1,12.7,212.271,2
101,73.5,51.2,0.1,3218.381655,2,1,12.3,216.576,2
102,73.3,5.7,0.1,2993.832531,2,1,11.9,22.572,2
103,73.2,5.1,0.1,41.26997,2,1,12.3,20.196,1
104,73.5,49.7,0.1,3138.8873,2,1,11.7,198.303,1
105,72.9,49.2,0.1,2158.299,2,1,11.2,197.292,1
106,73,48.8,0.1,1643.758397,2,1,10.9,207.4,2
107,73,48.4,0.1,1191.96192,2,1,10.9,184.404,1
108,72.7,48.1,0.1,93.1661567,2,1,10.8,145.743,1
109,72.6,47.8,0.1,783.261699,2.1,1,10.8,136.708,1
110,72.6,47.4,0.1,694.435119,2.1,1,11.1,135.564,1
111,72,47.1,0.1,622.7427477,2.1,1,11.2,136.59,1
112,82.8,66.6,0.1,56554.3876,0.6,1,20.4,271.728,3
113,82.7,66.1,0.1,62214.6912,0.6,1,20.4,641.831,2
114,82.5,65.5,0.1,67792.3386,0.6,1,20.3,646.485,3
115,82.3,65,0.1,67677.63477,0.6,1,20.1,651.95,3
116,82,64.4,0.1,62245.129,0.6,1,19.8,663.32,1
117,81.9,63.9,0.1,51874.848,0.7,1,19.5,672.228,1
118,81.7,63.4,0.1,42742.99898,0.7,1,19.1,673.308,1
119,81.3,62.9,0.1,49664.6854,0.7,1,19.1,676.804,1
120,81.3,62.5,0.1,4991.98289,0.7,1,19,660,1
121,81.2,62,0.1,36118.28381,0.7,1,20.3,639.22,1
122,81,61.5,0.1,3416.71483,0.7,1,20.3,633.45,1
123,86,6.9,0.1,3472.37977,0.7,1,20.7,67.896,1
124,83,6.3,0.1,23465.38559,0.7,1,20.6,62.811,1
125,79.9,59.6,0.1,281.81763,0.7,1,20.1,586.464,1
126,79.9,59,0.1,19517.84168,0.7,1,20.5,562.27,1
127,79.5,58.2,0.1,2169.921,0.7,1,20.4,591.894,1
128,81.5,57.6,0.1,43665.947,1.9,0,15.9,235.008,3
129,81.4,57.1,0.1,51322.63997,1.8,0,15.9,703.472,3
130,81.1,56.6,0.1,554.71532,1.8,0,15.7,669.012,3
131,88,56.1,0.1,48333.57273,1.8,0,15.7,687.786,3
132,88,55.7,0.1,51126.74139,1.7,0,15.7,670.628,3
133,84,55.2,0.1,46657.629,1.7,0,15.4,667.92,2
134,82,54.7,0.1,47654.18721,1.7,0,15.3,618.11,3
135,84,54.2,0.1,51386.37665,1.7,0,15.1,650.4,3
136,81,53.7,0.1,46586.6525,1.7,0,15.2,671.25,3
137,79.8,53.2,0.1,443.99361,1.7,0,15,659.68,3
138,79.4,52.7,0.1,38242.4252,1.7,0,14.9,653.48,3
139,79.3,52.2,0.1,36693.4262,1.7,0,14.7,631.62,3
140,78.8,51.7,0.1,3212.9355,1.7,0,14.7,630.74,3
141,78.7,51.2,0.1,26351.37568,1.7,0,16.1,640,2
142,78.6,5.6,0.1,24489.73553,1.7,0,15.5,69.44,2
143,78.1,5.1,0.1,24517.26745,1.7,0,15.4,67.32,2
144,72.7,52.5,0.1,55.31382,2.8,5,12.7,214.2,3
145,72.5,51.5,0.1,7891.299776,2.8,5,12.2,0.515,2
146,72.2,5.6,0.1,7875.756953,2.8,5,11.9,11.984,2
147,71.9,49.7,0.1,7496.335728,2.8,5,11.8,0.497,3
148,71.6,48.8,0.1,7189.691229,2.8,5,11.7,96.624,2
149,71.1,48,0.1,5842.85784,2.8,5,11.7,95.04,2
150,78,47.3,0.1,495.294791,2.8,6,11.6,99.33,3
151,73,46.6,0.1,5574.6382,2.8,6,11.6,54.988,1
152,73,45.9,0.1,3851.437869,2.8,6,11.6,46.818,1
153,69.2,45.3,0.1,2473.85776,2.9,6,10.7,38.505,2
154,68.4,44.7,0.1,1578.4239,2.9,6,11.2,32.631,2
155,68.4,44.2,0.1,145.2163,3,6,11,27.404,1
156,67.8,43.6,0.1,883.6439965,3,7,10.8,23.98,1
157,67.8,43.1,0.1,763.73858,3.1,7,10.6,23.705,2
158,67.5,42.6,0.1,73.6838434,3.1,8,10.4,21.726,1
159,66.6,42.1,0.1,655.974326,3.2,9,10.1,27.365,1
192,71.8,18.3,0.1,121.15812,17.9,92,10.2,74.664,2
193,71.4,17.7,0.1,184.56543,18.1,98,10,0.177,3
194,71,17,0.1,951.8894535,18.3,104,10,0.17,3
195,77,16.4,0.1,856.342857,18.5,111,9.9,0.164,3
196,73,15.8,0.1,835.789341,18.7,118,9.4,0.158,3
197,69.9,15.2,0.1,757.6717572,18.9,126,8.9,0.152,3
198,69.5,14.6,0.1,681.125368,19.1,135,8.4,0.146,2
199,69.1,14,0.1,615.7775411,19.3,144,8.6,0.14,3
200,68.6,13.5,0.1,541.651484,19.5,154,8.6,0.135,3
201,68.2,13,0.1,494.51466,19.7,164,8.4,0.13,2
202,67.8,12.5,0.1,484.155471,19.9,174,8.2,0.125,3
203,67.3,12,0.1,46.7579167,2.1,185,8.1,0.12,3
204,66.8,11.6,0.1,432.7388972,2.3,196,7.9,0.116,1
205,66.3,11.2,0.1,4.6135745,2.5,207,7.7,0.112,2
206,65.8,1.8,0.1,42.5981152,2.7,219,7.5,0.018,2
207,65.3,1.4,0.1,45.63371,2.9,231,7.3,0.014,3
224,72.3,62.3,0.1,5949.11677,1.9,0,15.6,254.184,3
225,72,61.7,0.1,8318.429294,1.9,0,15.7,860.098,3
226,71.7,61.1,0.1,7978.825443,2,0,15.7,895.726,3
227,71.9,6.5,0.1,694.243915,2,0,15.6,106.275,3
228,72,59.9,0.1,6519.71753,2,0,15.5,1036.869,3
229,73,59.3,0.1,63.38877,2,0,15.5,856.292,2
230,70,58.7,0.1,5176.172649,2.1,0,15.4,827.083,2
231,70,58.2,0.1,6376.183153,2.1,1,15.1,853.794,3
232,69.8,57.7,0.1,4735.484827,2.2,1,14.9,820.494,2
233,68.9,57.2,0.1,3848.215966,2.2,1,14.6,720.72,2
234,68.1,56.7,0.1,3126.71767,2.3,1,14.4,624.267,3
235,68.2,56.2,0.1,2378.33927,2.4,1,14.1,677.21,2
236,67.7,55.8,0.1,1819.525644,2.5,1,13.9,623.286,3
237,67.2,55.3,0.1,1479.383142,2.5,1,13.6,676.319,3
238,67.7,54.9,0.1,1244.373185,2.6,1,13.3,589.626,3
239,68,54.4,0.1,1276.28834,2.7,1,13.1,706.112,2
240,81.1,63.7,0.1,4356.875,1,0,16.6,259.896,3
241,89,63.4,0.1,47439.39684,1,0,16.3,798.84,1
242,87,63,0.1,4651.38647,1,0,16.3,741.51,3
243,83,62.6,0.1,4474.5717,0.9,0,16.2,631.008,3
244,83,62.3,0.1,4772.77415,0.9,0,16.1,629.853,2
245,80,61.9,0.1,4438.23741,0.9,0,15.9,632.618,2
246,79.8,61.6,0.1,4488.5615,0.9,0,15.8,619.08,2
247,79.5,61.3,0.1,48424.58927,0.8,0,15.8,641.811,1
248,79.5,6.9,0.1,4443.83131,0.8,0,15.8,70.725,1
249,79.4,6.6,0.1,38852.3613,0.8,0,15.7,72.468,2
250,78.9,6.2,0.1,36967.28292,0.8,0,15.7,76.074,2
251,78.8,59.8,0.1,35589.71295,0.8,1,18.8,720.59,2
252,78.3,59.4,0.1,3743.95693,0.8,0,18.6,670.032,2
253,78,59,0.1,2552.3328,0.8,1,18.8,666.11,2
254,78,58.5,0.1,23121.56635,0.8,1,18.2,644.085,1
255,77.6,58.1,0.1,2327.4591,0.8,1,18,651.301,1
256,71,5.9,0.2,4849.997495,3.5,0,12.8,24.072,1
257,70,5.1,0.2,4852.223666,3.4,0,12.8,33.558,1
258,69.8,49.3,0.2,4688.538443,3.4,0,12.9,323.408,1
259,69.4,48.5,0.1,4673.63848,3.5,0,12.5,323.01,1
260,69.4,47.8,0.5,4516.24675,3.5,0,12.4,317.392,1
261,69.5,47,0.2,4344.15177,3.5,0,12.4,317.72,1
262,69.5,46.3,0.3,4258.788611,3.5,0,12.7,317.155,1
263,69.6,45.7,0.1,447.22796,3.5,0,12.8,329.954,1
264,69.6,45,0.6,4324.876427,3.5,0,12.8,325.8,1
265,69.4,44.4,0.6,4187.3783,3.6,0,12.3,287.712,1
266,69,43.8,0.8,3933.332215,3.6,0,12.8,273.75,1
267,68.7,43.2,0.8,3831.53819,3.6,0,12.5,267.84,1
268,68.4,42.6,1.5,3679.99523,3.6,0,12.2,241.542,1
269,68.5,42,0.1,3556.561825,3.7,0,11.9,209.58,1
270,68.2,41.4,0.4,3419.275719,3.7,0,11.8,202.86,1
271,68.3,4.8,0.3,3364.423711,3.8,0,11.7,22.992,1
272,60,25.7,1,783.94791,6.9,25,10.7,104.856,2
273,59.7,25.2,1.1,943.686575,7.1,25,10.7,0.252,2
274,59.5,24.6,1.2,915.2674586,7.2,25,10.3,0.246,1
275,59.3,24.1,1.3,837.9551,7.4,25,10,0.241,2
276,59.1,23.5,1.4,825.9427854,7.6,25,9.8,32.9,1
277,58.7,23,1.4,757.695974,7.8,25,9.5,30.59,3
278,58.4,22.5,1.6,793.45243,7.9,25,9.3,26.1,2
279,57.6,22,1.8,82.1513498,8.1,25,9.1,28.16,3
280,57.1,21.5,2,76.535419,8.3,25,8.9,24.08,3
281,56.8,21,2,625.8392,8.5,25,8.7,24.99,3
282,56.5,2.5,2.1,61.799977,8.7,25,8.5,2.825,3
283,56.1,2.1,2.1,583.493514,8.9,25,8.1,2.415,1
284,55.8,19.7,2.1,519.2922847,9.1,25,7.7,26.595,2
285,55.6,19.2,2.1,418.6985763,9.3,25,7.3,23.616,3
286,55.5,18.8,2.1,378.73654,9.5,25,6.6,24.252,2
287,55.4,18.4,2,374.1923942,9.7,25,6.4,24.656,3
288,69.8,24.5,0.5,2613.645177,15.4,0,12.5,99.96,2
289,69.4,23.6,0.5,2522.7968,15.7,0,12.5,0.236,2
290,69.1,22.7,0.6,235.882889,15.9,0,12.6,0.227,2
291,68.7,21.9,0.6,2422.816,16.1,0,12.3,0.219,2
292,68.3,21.1,0.5,2458.45976,16.3,0,11.9,4.853,1
293,67.9,2.3,0.5,2178.921383,16.6,1,11.4,0.644,2
294,67.4,19.5,0.4,177.234497,16.8,1,10.9,3.315,2
295,67,18.8,0.4,1795.18137,17.1,1,10.5,3.948,1
296,66.5,18,0.3,1741.142552,17.3,1,10.1,2.88,2
297,65.8,17.4,0.3,1335.45696,17.5,1,9.6,5.046,2
298,65,16.7,0.3,1247.61392,17.8,1,9.2,12.191,2
299,64.2,16.1,0.3,197.45788,18,1,8.8,15.456,1
300,63.3,15.5,0.2,997.7417141,18.3,1,8.4,8.06,2
301,62.5,14.9,0.1,885.6382245,18.6,1,8,4.321,1
302,61.7,14.4,0.1,87.9387673,18.9,1,7.6,2.016,1
303,62,13.9,0.1,765.8632358,19.2,1,7.3,2.363,2
320,77.4,55.8,0.1,4574.9787,2.3,0,14.2,227.664,2
321,77.2,55.3,0.1,5193.94932,2.4,0,14.2,222.859,1
322,77,54.7,0.1,535.86555,2.4,0,14.2,225.364,1
323,76.8,54.2,0.1,4716.673325,2.5,0,13.9,249.862,1
324,76.9,53.7,0.1,55.156834,2.6,0,13.4,249.168,2
325,76.4,53.1,0.1,4611.47298,2.6,0,13.3,241.074,1
326,76.1,52.6,0.1,4697.89732,2.7,0,13.3,249.85,2
327,76,52.1,0.1,575.31664,2.8,0,13.1,267.273,2
328,75.4,51.5,0.1,418.292176,2.8,0,12.9,265.74,1
329,75.7,51,0.1,344.321698,2.9,0,12.7,245.82,2
330,75,5.5,0.1,2968.41186,2.9,0,12.5,25.08,1
331,75.5,49.9,0.1,265.642661,3,0,12.3,212.075,2
332,75.2,49.4,0.1,2214.732246,3,0,12.1,204.516,2
333,75.4,48.8,0.1,1761.537647,3.1,0,11.9,187.392,1
334,74.9,48.2,0.1,1524.41222,3.2,0,11.6,185.57,2
336,65.7,37.9,2.2,6532.651,6.4,2,12.6,154.632,1
337,65.1,37.3,2.3,7497.762376,6.7,2,12.6,0.373,2
338,64.2,36.8,2.8,77.625783,7,2,12.6,0.368,1
339,63.4,36.2,4.4,729.231453,7.3,2,12.5,0.362,1
340,62.2,35.7,5.5,7645.21469,7.7,2,12.4,205.632,1
341,61.1,35.2,6.2,6346.15624,8,2,12.3,210.848,1
342,59.2,34.7,9,5185.729845,8.4,2,12.2,173.847,2
343,57.5,34.2,12.7,5623.379566,8.8,2,12.1,224.352,2
344,56.9,33.7,13.4,5714.47937,9.2,2,12.1,209.277,2
345,54.8,33.2,14.4,5374.554867,9.6,2,11.9,214.14,2
346,51.7,32.7,20.6,5351.253732,1,2,11.9,208.299,2
347,48.1,32.2,28.4,4896.583835,1.5,2,11.8,157.78,1
348,46.4,31.6,31.9,4163.6596,1.9,2,11.8,174.116,1
349,46,31.1,34.6,355.618382,11.4,2,11.9,199.351,2
350,46.7,3.5,37.2,3128.97793,11.8,2,11.8,19.18,2
351,47.8,29.9,38.8,3349.68823,12.3,2,11.7,160.563,1
352,75,56.1,0.1,8757.2622,2.7,42,15.2,228.888,2
353,74.8,55.3,0.1,1226.61731,2.7,44,15.2,404.796,3
354,74.7,54.5,0.1,12216.9446,2.8,46,14.2,394.58,2
355,74.5,53.6,0.1,12291.46685,2.8,49,14.2,404.68,1
356,74.1,52.8,0.1,13167.47289,2.9,51,14,400.224,3
357,73.8,52,0.1,11224.1548,2.9,54,13.8,391.04,3
358,73.6,51.1,0.1,8553.3847,3,57,13.8,374.563,3
359,73.4,5.3,0.1,8787.61375,3,61,13.3,38.213,3
360,73.3,49.4,0.1,7313.557962,3.1,65,13.5,355.186,3
361,73,48.6,0.1,586.145975,3.1,70,13.8,345.06,3
362,72.7,47.8,0.1,477.182746,3.2,75,13.8,333.166,3
363,72,46.9,0.1,3623.47667,3.2,81,14,321.265,3
364,71.8,46.1,0.1,359.587582,3.3,88,14.8,320.395,3
365,71.4,45.3,0.1,2819.649531,3.3,95,14.6,317.1,2
366,71,44.5,0.1,3146.95177,3.4,103,14.3,317.285,2
367,75,43.7,0.1,3739.11936,3.4,111,14.1,317.262,3
384,74.5,65.7,0.1,6993.47736,1.9,0,15,268.056,3
385,74.3,65.1,0.1,7853.335191,1.9,1,14.8,783.153,3
386,74.1,64.5,0.1,7674.86559,1.9,1,14.4,777.87,3
387,73.9,63.9,0.1,7378.25539,1.9,1,14.3,702.261,2
388,73.7,63.3,0.1,7813.83499,2,1,14.2,675.411,3
389,73.4,62.7,0.1,6843.263289,2,1,13.9,677.16,3
390,73.2,62.1,0.1,6955.987733,2,1,13.8,678.753,3
391,72.9,61.5,0.1,7296.122479,2.1,1,13.8,675.27,3
392,72.6,6.9,0.1,5932.899677,2.1,1,13.5,75.141,3
393,72.2,6.3,0.1,4513.13628,2.2,1,13.5,65.457,1
394,72.1,59.7,0.1,3893.68998,2.2,1,13.5,625.656,3
395,72.2,59.1,0.1,3381.57837,2.3,1,13.3,647.736,2
396,72,58.6,0.1,271.46824,2.3,1,12.9,655.734,3
397,71.8,58.1,0.1,287.534843,2.4,1,12.9,592.62,3
398,71.6,57.5,0.1,1764.97387,2.4,1,12.9,616.4,1
399,71.1,57,0.1,169.28586,2.5,1,12.9,552.33,2
400,59.9,19.4,0.6,615.592225,8,38,7.7,79.152,2
401,59.3,18.8,0.6,75.1464113,8.2,39,7.7,0.188,3
402,59,18.2,0.7,699.452847,8.4,40,7.5,84.448,2
403,58.6,17.7,0.8,673.8227,8.6,41,7.2,84.075,3
404,58.1,17.1,0.9,666.842783,8.8,42,6.7,77.121,1
405,57.5,16.6,1,575.4464527,9,43,6.3,75.53,2
406,56.9,16.1,1.1,552.7455521,9.3,44,5.9,73.255,2
407,56.1,15.6,1.5,569.7612784,9.5,45,5.4,70.2,3
408,55.3,15.1,1.7,475.11122,9.8,46,4.9,69.158,2
409,54.3,14.6,2,422.6332374,1,47,4.7,69.058,3
410,53.3,14.2,2.3,46.998871,1.3,48,4.3,69.296,2
411,52.4,13.7,2.5,371.323865,1.5,49,3.9,62.198,1
412,51.6,13.3,2.9,332.344351,1.7,49,3.8,60.914,3
413,51,12.9,3.2,26.7635413,11,49,3.6,58.437,1
414,56,12.5,3.6,235.4912324,11.2,48,3.5,57,3
415,51,12.2,4,226.4759814,11.4,48,3.4,45.262,2
416,59.6,18.7,0.7,33.681223,7.3,21,10.6,76.296,1
417,59.1,18.2,0.7,312.7489794,7.4,22,10.6,0.182,2
418,58.6,17.6,1,282.7555252,7.4,22,10.5,0.176,1
419,58,17.1,1.2,265.285651,7.5,22,10.3,0.171,2
420,57.4,16.6,1.5,26.479973,7.6,22,9.9,69.056,1
421,56.8,16.1,1.9,231.1943256,7.7,23,9.3,66.976,2
422,56.2,15.7,2.4,24.944652,7.8,23,8.6,63.585,2
423,55.3,15.2,2.9,196.2472628,7.9,23,7.9,65.816,3
424,54.8,14.8,3.4,17.79995,8,24,7.2,67.192,3
425,54.1,14.5,3.8,165.8794176,8.1,24,5.9,65.25,3
426,53.4,14.1,4.3,15.57434,8.2,24,5.6,78.114,3
427,52.6,13.8,4.8,127.4296648,8.4,24,5.2,78.936,3
428,51.9,13.5,5.1,112.849373,8.5,24,4.7,78.84,3
429,51.5,13.3,5.2,122.4335893,8.7,24,4.4,79.534,3
430,51.3,13,5.3,133.7427689,8.8,25,4.5,79.17,3
431,58,12.8,5.2,135.9984455,9,25,4.5,84.608,1
448,73.3,31.3,0.2,2954.119467,6.6,0,13.5,127.704,2
449,73,3.5,0.2,3529.61843,6.8,0,13.5,0.035,2
450,72.8,29.7,0.2,3558.796314,6.9,0,13.6,0.297,1
451,72.7,29,0.3,348.482762,7.1,0,13.2,0.29,2
452,72.6,28.2,0.3,367.429453,7.3,0,13.1,142.974,1
453,72.5,27.5,0.4,3312.825985,7.4,0,12.7,130.625,1
454,72.4,26.8,0.4,3444.5566,7.6,0,12.4,119.26,2
455,72.4,26.2,0.4,3638.95946,7.8,0,12.2,108.992,2
456,72.3,25.5,0.6,3112.285712,8.1,0,11.9,134.64,2
457,72.1,24.9,0.6,234.28992,8.3,0,11.9,105.825,1
458,71.8,24.3,0.8,248.13459,8.5,0,11.2,103.518,2
459,71.4,23.7,0.8,1976.45856,8.7,0,11.1,99.303,2
460,71.1,23.2,0.9,1768.92132,8.9,0,11.3,96.512,1
461,77,22.6,0.8,1373.515636,9.2,0,11.3,86.332,1
462,73,22.1,0.8,1268.884564,9.4,0,11,84.201,2
463,69.9,21.5,0.8,1239.377855,9.6,0,11.3,75.035,1
464,68.7,19.6,0.2,1163.18977,1.9,10,10.9,79.968,3
465,68.3,18.9,0.2,198.687123,1.9,11,10.9,0.189,1
466,67.8,18.2,0.2,128.419568,11,11,10.8,0.182,2
467,67.4,17.6,0.3,95.244132,11,12,10.7,0.176,3
468,67,17,0.3,882.491462,11,13,10.7,36.04,3
469,66.6,16.4,0.5,785.6928841,11,14,10.6,36.08,1
470,66.1,15.9,0.6,738.2326684,11.1,15,10.5,33.867,1
471,65.6,15.3,0.7,745.7877873,11.2,16,10.5,34.272,1
472,65,14.8,0.9,631.675789,11.3,16,10.3,30.784,3
473,64.1,14.3,1.1,539.8791529,11.4,17,10.1,29.029,3
474,62.9,13.9,1.4,474.2238766,11.5,18,10,27.661,1
475,61.5,13.5,1.7,48.615184,11.6,19,9.7,18.63,2
476,63,13.1,1.9,362.4213785,11.6,21,9.3,18.864,3
477,59.3,12.8,2.1,339.676984,11.6,23,8.2,18.304,3
478,58.5,12.4,2.2,321.22634,11.6,25,7.6,21.204,2
479,57.7,12.1,2.1,3.685949,11.6,27,7.2,18.271,3
480,57.3,29,3.5,1244.429421,5.6,45,10.4,118.32,3
481,56.7,28.4,3.7,1441.1417,5.7,47,10.4,0.284,2
482,56.4,27.8,4,1365.34419,5.8,48,10.4,0.278,3
483,55.9,27.2,4.6,1255.648189,5.9,50,10.4,0.272,2
484,55.6,26.6,4.9,1295.649726,6,51,10,164.654,1
485,55.3,26,5.5,1182.869227,6.1,53,9.7,159.9,2
486,54.8,25.4,6.3,123.19538,6.3,54,9.2,149.606,3
487,54.2,24.9,6.7,1233.524316,6.4,56,8.8,146.91,1
488,53.6,24.4,7,111.71186,6.6,57,8,132.736,3
489,53.3,23.8,7.2,12.989164,6.7,58,8.2,124.236,3
490,52.8,23.3,7.4,952.1872484,6.9,58,8.3,117.199,2
491,52.1,22.8,7.5,93.211716,7,59,8.2,107.388,2
492,51.8,22.3,7.7,824.8689393,7.2,60,8.1,103.472,3
493,51.6,21.8,7.8,676.397661,7.4,60,8.4,99.844,2
494,51.5,21.3,7.9,614.6729339,7.5,61,7.1,94.359,3
495,51.4,2.9,7.7,68.414399,7.7,62,6.9,11.339,3
496,82.2,67,0.1,43315.744,0.6,2,16.3,273.36,2
497,82,66.4,0.1,544.43376,0.5,2,15.9,537.84,3
498,81.8,65.8,0.1,52413.72116,0.5,2,15.9,539.56,3
499,81.6,65.3,0.1,52496.69487,0.5,2,15.9,541.99,2
500,81.5,64.7,0.1,5282.2176,0.5,2,15.9,530.54,2
501,81.2,64.1,0.1,47447.4762,0.5,2,15.9,538.44,1
502,81,63.6,0.1,4773.45436,0.5,2,15.9,534.24,3
503,87,63,0.1,46596.33599,0.5,2,15.8,522.9,3
504,85,62.5,0.1,44544.5268,0.5,2,15.8,518.75,3
505,85,61.9,0.1,4386.69948,0.5,2,15.8,507.58,1
506,81,61.3,0.1,36189.58838,0.5,2,15.8,490.4,1
507,80,6.6,0.1,31979.87195,0.5,2,15.8,51.48,1
508,79.7,6,0.1,28172.14883,0.5,2,15.8,46.2,1
509,79.5,59.3,0.1,24167.8431,0.5,2,15.8,456.61,1
510,79.4,58.5,0.1,23691.59472,0.5,2,15.8,444.6,1
511,79.1,57.8,0.1,24124.16917,0.5,2,15.9,439.28,1
512,52.5,22.7,4.4,348.381417,8.2,15,7.1,92.616,1
513,58,22.1,4.5,377.132274,8.4,15,7.1,0.221,3
